117,87.9,Marcus Smart,PG,MEM,67,31.8,"0.417

(4.2/10.0)","0.777

(1.7/2.2)",1.8,11.8,3.5,5.3,1.6,0.3,2.3,1.08
118,128.3,Mike Conley,PG,MIN,68,29.4,"0.432

(4.2/9.7)","0.813

(1.9/2.3)",2.1,12.4,2.8,6.0,1.1,0.2,1.6,1.02
119,106.8,Spencer Dinwiddie,PG,BKN,73,33.5,"0.429

(5.5/12.8)","0.795

(3.3/4.2)",2.1,16.5,4.0,6.2,0.8,0.3,1.8,1.01
120,105.4,Tre Jones,PG,SA,69,29.2,"0.469

(4.8/10.2)","0.831

(2.1/2.5)",0.5,12.1,3.8,6.4,1.2,0.2,1.5,0.92
121,139.1,Kentavious Caldwell-Pope,"SG,SF",DEN,76,31.1,"0.450

(4.4/9.7)","0.839

(1.6/1.9)",1.8,12.1,3.1,2.2,1.4,0.4,1.2,0.65
122,90.2,Andrew Wiggins,"SF,PF",GS,69,32.5,"0.468

(6.8/14.4)","0.629

(1.8/2.9)",2.3,17.6,4.8,2.3,1.1,0.7,1.5,0.63
123,145.3,Kyle Anderson,"SF,PF",MIN,69,25.8,"0.497

(3.7/7.3)","0.694

(1.3/1.8)",0.6,9.2,5.6,3.9,1.1,0.8,1.3,0.60
124,129.6,Kevin Huerter,"SG,SF",SAC,74,30.0,"0.470

(5.3/11.2)","0.754

(1.0/1.3)",2.5,14.0,3.5,2.9,0.9,0.4,1.3,0.57
125,145.1,Tari Eason,"SF,PF",HOU,78,25.3,"0.454

(4.5/9.8)","0.753

(1.6/2.2)",0.9,11.4,7.4,1.3,1.3,0.7,1.5,0.55
126,112.8,Jaden McDaniels,"SF,PF",MIN,74,30.8,"0.492

(4.6/9.4)","0.755

(1.2/1.6)",1.4,11.8,4.4,1.7,0.9,1.0,1.4,0.52
127,140.0,Jarred Vanderbilt,PF,LAL,76,26.4,"0.564

(3.3/5.8)","0.675

(1.3/1.9)",0.2,8.0,8.6,2.0,1.3,0.5,1.2,0.39
128,124.9,Ben Simmons,"PG,SG,PF",BKN,50,26.3,"0.553

(4.0/7.1)","0.438

(0.6/1.4)",0.0,8.5,6.3,6.2,1.3,0.6,2.3,0.32
129,145.3,Matisse Thybulle,"SG,SF",POR,72,27.0,"0.463

(2.6/5.6)","0.735

(0.5/0.7)",1.2,6.8,2.8,1.2,1.6,1.0,0.6,0.30
130,138.5,Obi Toppin,PF,IND,70,29.5,"0.483

(5.7/11.9)","0.812

(1.7/2.1)",1.5,14.7,5.6,1.6,0.6,0.6,1.2,0.26
